Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,33178.200000000004,18000,16200,5400
0002,44909.600000000006,23400,19800,5400
0003,43994.14999999999,21600,16200,5400
0004,31166.449999999997,21600,18000,3600
0005,38213.65,21600,16200,7200
0006,53855.94999999999,25200,23400,5400
0007,37920,23400,18000,3600
0008,41646.85,23400,18000,5400
0009,43931.20000000001,19800,19800,7200
0010,58808.89999999999,28800,25200,5400
0011,50217,23400,18000,5400
0012,49731.29999999999,23400,18000,5400
0013,48727.70000000001,23400,21600,9000
0014,39220.7,23400,18000,5400
0015,47099.45,23400,19800,9000
0016,44228.4,23400,18000,9000
0017,37562.59999999999,19800,18000,5400
0018,37675.4,21600,16200,3600
0019,39246.79999999999,23400,18000,5400
0020,43096.65,19800,18000,9000
0021,36852.95,21600,19800,5400
0022,53994.7,23400,19800,7200
0023,57864.39999999999,25200,21600,9000
0024,53310.899999999994,23400,19800,7200
0025,58988.09999999999,27000,21600,9000
0026,54233.54999999999,23400,19800,7200
0027,35360.7,19800,18000,5400
0028,45770.899999999994,25200,19800,7200
0029,58266.69999999999,25200,21600,5400
0030,37549.899999999994,21600,16200,5400
0031,32915.50000000001,21600,18000,3600
0032,38201.24999999999,21600,18000,5400
0033,38026.25,21600,19800,3600
0034,46724.19999999999,19800,16200,5400
0035,43799.45,23400,16200,9000
0036,39210.69999999999,25200,19800,3600
0037,44545.55,21600,18000,9000
0038,44321.59999999999,21600,19800,3600
0039,37188.549999999996,21600,14400,9000
0040,43516.6,27000,19800,5400
0041,54000.70000000001,23400,23400,7200
0042,48522.69999999999,19800,16200,5400
0043,36484.65,21600,19800,3600
0044,48299.84999999999,19800,14400,7200
0045,54294.54999999999,27000,23400,5400
0046,39995.49999999999,21600,16200,7200
0047,31991.95,16200,16200,5400
0048,42834.85,23400,16200,7200
0049,49960.999999999985,21600,18000,9000
0050,36648.75,23400,16200,7200
0051,35705.899999999994,21600,16200,7200
0052,45877.34999999999,21600,18000,9000
0053,49118.899999999994,27000,21600,5400
0054,41684.15,23400,18000,7200
0055,42642.05,21600,19800,3600
0056,29980.9,21600,18000,3600
0057,33299.200000000004,21600,16200,5400
0058,37855.79999999999,21600,14400,7200
0059,46659.49999999999,23400,18000,7200
0060,44203.94999999999,21600,18000,9000
0061,55572.899999999994,25200,18000,7200
0062,51811.54999999999,27000,21600,7200
0063,39812.34999999999,25200,25200,1800
0064,47569.59999999999,18000,14400,7200
0065,40079.04999999999,25200,19800,7200
0066,43952.45,21600,16200,3600
0067,33667.9,23400,18000,3600
0068,63678.69999999999,23400,21600,10800
0069,46020.2,19800,16200,5400
0070,48608.89999999999,23400,18000,7200
0071,45446.99999999999,25200,18000,9000
0072,43359.649999999994,23400,21600,7200
0073,53010.34999999999,28800,21600,7200
0074,38242.74999999999,21600,16200,5400
0075,40618.09999999999,19800,14400,7200
0076,38239.85,19800,18000,5400
0077,46516.749999999985,25200,21600,5400
0078,41116.899999999994,25200,21600,5400
0079,31485.800000000007,23400,18000,3600
0080,42066.35,21600,16200,7200
0081,37474.50000000001,23400,18000,7200
0082,49133.04999999999,19800,16200,5400
0083,30577.699999999997,18000,12600,5400
0084,55668.45,21600,18000,9000
0085,41663.75,21600,16200,7200
0086,41822,19800,16200,7200
0087,48727.899999999994,27000,23400,7200
0088,38409.7,21600,14400,7200
0089,45348,23400,19800,5400
0090,53917.44999999999,27000,21600,5400
0091,44959.79999999999,27000,25200,3600
0092,44455.75,25200,21600,7200
0093,25388.350000000006,19800,16200,1800
0094,32741.1,23400,14400,3600
0095,41820.74999999999,21600,14400,9000
0096,43291.65,27000,23400,1800
0097,47504.49999999999,21600,19800,7200
0098,47795.65000000001,23400,19800,7200
0099,39092.85,19800,14400,7200
0100,50358.84999999999,21600,18000,5400
0101,53877.29999999998,25200,21600,5400
0102,31215.499999999996,19800,16200,5400
0103,41626.29999999999,23400,21600,5400
0104,50302.94999999998,23400,19800,5400
0105,43646.4,21600,16200,3600
0106,51287.59999999999,19800,16200,7200
