Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0001,59799.94999999999,21600,16200,10800
0002,36627.049999999996,23400,16200,5400
0003,57218.8,25200,19800,5400
0004,39538.50000000001,21600,16200,5400
0005,62052.69999999998,25200,19800,7200
0006,53254.75000000001,27000,19800,7200
0007,46853.05000000001,21600,18000,5400
0008,74954.65,27000,25200,9000
0009,47978.149999999994,23400,21600,5400
0010,22610.65,21600,19800,0
0011,35166.200000000004,19800,14400,7200
0012,49282.850000000006,27000,16200,7200
0013,47215.24999999999,25200,19800,9000
0014,77088.20000000001,28800,25200,9000
0015,51091.50000000001,21600,18000,7200
0016,73720.09999999999,27000,23400,14400
0017,43433.55,21600,18000,7200
0018,46532.1,19800,16200,9000
0019,45254.75,25200,19800,3600
0020,47938.85,12600,12600,9000
0021,50142.1,19800,18000,10800
0022,44693.04999999999,21600,18000,9000
0023,36680.24999999999,16200,14400,5400
0024,54093.29999999999,23400,21600,7200
0025,32613.2,23400,16200,5400
0026,57905.649999999994,27000,25200,7200
0027,61133.7,27000,21600,9000
0028,42159.44999999999,27000,16200,5400
0029,43323.05,25200,19800,5400
0030,51152.59999999999,21600,19800,9000
0031,26574.55,25200,19800,1800
0032,56682.349999999984,28800,21600,9000
0033,23051.399999999994,21600,12600,1800
0034,44983.99999999999,30600,21600,5400
0035,63673.70000000001,27000,21600,10800
0036,42670.5,25200,18000,9000
0037,55905.14999999999,30600,23400,7200
0038,61259.59999999999,27000,21600,10800
0039,39657.99999999999,27000,23400,3600
0040,31420,14400,12600,5400
0041,67411.15,27000,23400,9000
0042,68241.45,21600,21600,9000
0043,29466.100000000006,21600,16200,1800
0044,58976.1,25200,23400,9000
0045,40097.65,19800,12600,5400
0046,30213.299999999996,14400,10800,7200
0047,29541.200000000008,14400,10800,5400
0048,52543.5,25200,21600,9000
0049,48602.09999999999,23400,19800,3600
0050,39910.149999999994,23400,21600,3600
0051,38335.3,25200,18000,3600
0052,51964.24999999999,28800,21600,9000
0053,63660.74999999999,27000,23400,7200
0054,27646.55,18000,14400,1800
0055,66323.19999999997,27000,23400,12600
0056,34623.950000000004,16200,12600,7200
0057,39907.50000000001,21600,19800,3600
0058,48196.45000000001,25200,19800,7200
0059,31608.6,18000,14400,3600
0060,49222.9,23400,12600,9000
0061,57684.54999999999,25200,19800,14400
0062,34085.89999999999,27000,18000,3600
0063,34524.9,23400,16200,3600
0064,34308.399999999994,25200,16200,5400
0065,54826.749999999985,27000,25200,9000
0066,33385.2,21600,16200,5400
0067,57555.149999999994,21600,19800,7200
0068,28960.299999999996,16200,14400,1800
0069,86777,30600,28800,10800
0070,55042.149999999994,19800,16200,12600
0071,27711.95,18000,14400,1800
0072,31238.350000000006,23400,14400,5400
0073,42219.15,18000,16200,9000
0074,48492.15,28800,21600,9000
0075,47848.09999999999,21600,18000,7200
0076,42607.600000000006,21600,19800,7200
0077,64839.29999999999,21600,19800,10800
0078,29790.000000000004,18000,16200,5400
0079,41583.79999999999,25200,21600,7200
0080,39257.649999999994,23400,19800,1800
0081,51209.74999999999,21600,19800,7200
0082,56197.9,25200,21600,9000
0083,37494.7,25200,18000,5400
0084,47540.7,21600,19800,7200
0085,63207.15,25200,25200,10800
0086,33202.35,18000,14400,7200
0087,63495.94999999999,19800,16200,9000
0088,38563.850000000006,23400,21600,3600
0089,69726.45000000001,27000,27000,14400
0090,48775.6,25200,16200,7200
0091,43453.99999999999,25200,23400,3600
0092,70298.95000000001,28800,27000,9000
0093,63474.79999999999,21600,18000,9000
0094,41738.90000000001,19800,18000,3600
0095,38312.70000000001,12600,9000,7200
0096,49055.9,23400,19800,10800
0097,30116.800000000003,14400,14400,3600
0098,36681.1,23400,14400,3600
0099,74823.59999999998,25200,23400,12600
0100,47767.14999999999,32400,25200,5400
0101,61395.95000000001,23400,19800,9000
0102,39582.6,27000,19800,3600
0103,56030.04999999999,25200,19800,7200
0104,50722.14999999999,23400,19800,9000
0105,43104.65,23400,18000,9000
0106,40920.15000000001,25200,23400,3600
0107,37892,23400,19800,5400
0108,37013.59999999999,21600,16200,5400
0109,45621.75000000001,27000,21600,7200
0110,27994.450000000004,18000,10800,3600
0111,24482.750000000004,18000,10800,1800
0112,40059.24999999999,23400,16200,5400
0113,35017.049999999996,18000,14400,5400
0114,55875.75,27000,23400,10800
0115,21497.95,23400,16200,1800
0116,65921.2,25200,19800,10800
0117,39858.00000000001,19800,18000,7200
0118,56390.04999999999,25200,23400,12600
0119,54975.99999999999,28800,25200,9000
0120,38283.44999999999,21600,19800,3600
0121,25545.89999999999,19800,12600,3600
0122,57189.14999999999,27000,23400,9000
0123,67439.54999999999,27000,25200,7200
0124,41689.55,27000,18000,5400
0125,69868.7,21600,18000,9000
0126,23771.500000000004,21600,14400,3600
0127,50468.04999999999,23400,18000,7200
0128,61298.44999999999,21600,16200,7200
0129,33775.24999999999,21600,18000,3600
0130,49592.6,25200,21600,9000
0131,62149.64999999999,28800,21600,9000
0132,31632.850000000006,14400,12600,5400
0133,41566.04999999999,21600,18000,5400
0134,24393.300000000003,16200,10800,3600
0135,51697.15,23400,18000,7200
0136,45575.6,25200,23400,7200
0137,35594.5,21600,18000,5400
0138,47938.44999999999,27000,21600,7200
0139,47638.099999999984,23400,19800,7200
0140,37812.45,18000,18000,5400
0141,42714.45,21600,19800,9000
0142,42645.74999999999,23400,16200,5400
0143,43136.85,21600,19800,9000
0144,33716.25,16200,10800,3600
0145,49394.05,21600,16200,7200
0146,32299.550000000003,23400,16200,7200
0147,40166.8,19800,18000,3600
0148,50094.8,18000,14400,9000
0149,35250.5,21600,14400,7200
0150,49908.100000000006,19800,19800,7200
0151,47604.70000000001,28800,19800,7200
0152,51480.79999999999,30600,19800,7200
0153,47167.65,25200,18000,9000
0154,40242.95000000001,23400,18000,5400
0155,82925.79999999999,21600,21600,12600
0156,39939.50000000001,25200,18000,5400
0157,61840.09999999999,25200,21600,9000
0158,28555.2,19800,14400,1800
0159,43405.09999999999,21600,14400,5400
0160,66818.7,27000,23400,10800
0161,39012.399999999994,27000,16200,5400
0162,53297.29999999999,21600,18000,10800
0163,35650.94999999999,19800,14400,1800
0164,55793.49999999998,25200,21600,9000
0165,16927.150000000005,19800,14400,0
0166,22690.55,18000,12600,1800
0167,50547.399999999994,19800,16200,7200
0168,51435.05000000001,27000,21600,9000
0169,52211.15,28800,23400,7200
0170,33472.8,19800,14400,5400
0171,48129.899999999994,19800,16200,10800
0172,27113.949999999997,16200,14400,1800
0173,40950.75,25200,21600,3600
0174,48556.44999999999,19800,14400,7200
0175,77841.6,25200,25200,16200
0176,36534.75,25200,18000,1800
0177,57338.6,28800,25200,7200
0178,39148.2,23400,18000,5400
0179,42938.85,19800,18000,5400
0180,63600.20000000001,27000,25200,10800
0181,20394.2,18000,18000,0
0182,63739.9,27000,23400,14400
0183,26542.400000000005,19800,16200,1800
0184,53512.749999999985,21600,16200,9000
0185,56650.44999999999,25200,23400,7200
0186,31360.4,19800,14400,5400
0187,39250.90000000001,25200,18000,5400
0188,53955.29999999999,27000,25200,7200
0189,41064.44999999999,23400,18000,5400
0190,30676.1,21600,19800,1800
0191,22962.75,14400,9000,3600
0192,40781.95000000001,23400,19800,7200
0193,33655.45,18000,10800,7200
0194,50098.05000000001,19800,16200,7200
0195,50274.3,23400,21600,7200
0196,59027.40000000001,21600,19800,10800
0197,31099.399999999994,21600,18000,1800
0198,53531.49999999999,23400,18000,9000
0199,45576.600000000006,25200,21600,7200
0200,62319.2,19800,19800,9000
0201,34962.45,25200,18000,7200
0202,42002.1,23400,19800,7200
0203,41560.4,25200,16200,5400
0204,58898.05,27000,23400,12600
0205,47136.350000000006,23400,21600,5400
0206,42390.899999999994,27000,19800,3600
0207,38300.3,25200,21600,1800
0208,45543.65,27000,21600,7200
0209,17826.500000000004,16200,9000,1800
0210,40252.04999999999,23400,14400,7200
0211,47916.65,21600,18000,9000
0212,60319.49999999999,21600,19800,12600
0213,76010.25,27000,21600,14400
0214,66810.90000000001,25200,21600,14400
0215,64823.650000000016,25200,23400,16200
0216,62582.69999999999,25200,23400,7200
0217,21526.05,16200,10800,1800
0218,62622.35,27000,27000,10800
0219,81053.84999999998,32400,28800,12600
0220,60031.19999999999,28800,23400,9000
0221,72019.74999999999,23400,21600,9000
0222,40870.29999999999,14400,14400,3600
0223,55536.45000000001,27000,23400,10800
0224,43337.350000000006,25200,21600,5400
0225,65192.39999999999,30600,23400,10800
0226,44811.70000000001,25200,18000,7200
0227,37645.30000000001,27000,19800,5400
0228,30351.55,19800,19800,0
0229,29985.100000000006,18000,18000,3600
0230,64218.649999999994,18000,16200,7200
0231,59051.75,30600,23400,10800
0232,66536.4,23400,19800,10800
0233,55943.45,23400,19800,10800
0234,39026.79999999999,19800,18000,7200
0235,53836.8,21600,19800,7200
0236,40944.30000000001,18000,16200,7200
0237,50601.34999999999,23400,18000,3600
0238,31066.25,19800,14400,5400
0239,21151.300000000003,16200,12600,1800
0240,51151.9,25200,23400,5400
0241,46290.45000000001,19800,18000,5400
0242,44412.24999999999,25200,21600,5400
0243,30877.35,23400,14400,7200
0244,36815.95,25200,19800,3600
0245,29061.449999999997,23400,18000,1800
