Datetime,mean,median,sd,min,max,q25,q75,n
2023-06-16T12:00:00Z,20.802646000000003,20.4,1.657899660715074,19,23,19,23,100000
2023-06-16T12:30:00Z,81.316541,81.1,8.667794840787296,70.8,92,70.8,92,100000
2023-06-16T13:00:00Z,8281.048400000007,6155.2,4424.972390295199,4227.6,14421.8,4227.6,14421.8,100000
2023-06-16T13:30:00Z,11566.166282000004,13535,2668.1231825839086,7474.6,14287.4,7474.6,14287.4,100000
2023-06-16T14:00:00Z,12166.428790000004,11539.1,942.5272916579723,11466.1,13503.6,11466.1,13503.6,100000
2023-06-16T14:30:00Z,1326.3350940000028,355,1561.4773883389994,93.2,3527.1,93.2,3527.1,100000
2023-06-16T15:00:00Z,1442.6261810000003,378.2,1711.1922675520334,93.5,3858.5,93.5,3858.5,100000
2023-06-16T15:30:00Z,1507.3046410000006,320.2,1848.8088713046434,93.9,4130.5,93.9,4130.5,100000
2023-06-16T16:00:00Z,1519.3867290000035,286.4,1879.0082310535186,94.5,4171.3,94.5,4171.3,100000
2023-06-16T16:30:00Z,1263.0267379999975,269.7,1529.3944869278753,94.3,3421.9,94.3,3421.9,100000
2023-06-16T17:00:00Z,17685.49735400002,14938.9,12126.464788271378,4439.6,33750.6,4439.6,33750.6,100000
2023-06-16T17:30:00Z,859.9271120000012,845.3,258.8596113649435,551.7,1185.9,551.7,1185.9,100000
2023-06-16T18:00:00Z,2195.798619999997,248.2,2864.971365291592,97.9,6252.4,97.9,6252.4,100000
2023-06-16T18:30:00Z,2546.769396999996,207.8,3382.224750250209,99.9,7325.8,99.9,7325.8,100000
2023-06-16T19:00:00Z,2670.9890169999953,245.8,3536.900468721449,100.5,7678.2,100.5,7678.2,100000
2023-06-16T19:30:00Z,2983.002393000003,185.7,4015.7428357950002,100.6,8660.9,100.6,8660.9,100000
2023-06-16T20:00:00Z,8099.604549000001,7783.4,2215.3368733197753,5553.3,10945.2,5553.3,10945.2,100000
2023-06-16T20:30:00Z,11235.873824,7709.9,3531.2137887422887,7709.9,14772.3,7709.9,14772.3,100000
2023-06-16T21:00:00Z,2064.478477000002,2715.7,653.8479859877639,1408,2715.7,1408,2715.7,100000
2023-06-16T21:30:00Z,31.20120299999998,24.2,11.310537234602114,22.2,47.1,22.2,47.1,100000
2023-06-16T22:00:00Z,29.716809999999985,24.4,11.988583973324218,18.4,46.3,18.4,46.3,100000
2023-06-16T22:30:00Z,17.5,17.5,0,17.5,17.5,17.5,17.5,100000
